id,time,long,lat
7078,2008-02-07 01:00:52,116.3333,39.90595
7078,2008-02-07 01:03:44,116.36188,39.90579
7078,2008-02-07 01:05:54,116.36796,39.89874
7078,2008-02-07 01:08:46,116.37179,39.89477
7078,2008-02-07 01:13:47,116.36812,39.88481
7078,2008-02-07 01:15:58,116.36806,39.87316
7078,2008-02-07 01:18:49,116.3674,39.86225
7078,2008-02-07 01:20:59,116.36507,39.84963
7078,2008-02-07 01:23:51,116.37001,39.84512
7078,2008-02-07 01:26:01,116.37229,39.83875
7078,2008-02-07 01:28:53,116.37437,39.84903
7078,2008-02-07 01:31:03,116.37236,39.84101
7078,2008-02-07 01:33:55,116.37549,39.84211
7078,2008-02-07 01:38:56,116.38157,39.84374
7078,2008-02-07 01:41:07,116.39451,39.83786
7078,2008-02-07 01:43:58,116.39146,39.82477
7078,2008-02-07 01:46:08,116.38794,39.81131
7078,2008-02-07 01:49:00,116.39003,39.80625
7078,2008-02-07 01:54:02,116.41187,39.80046
7078,2008-02-07 01:56:12,116.41383,39.79003
7078,2008-02-07 01:59:04,116.43449,39.772
7078,2008-02-07 02:01:14,116.44244,39.762
